Underlying,Expiry,Strike,OType,Side,Quantity,Price
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,80,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,80,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,160,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
BANKNIFTY ,2016-07-28,19500.0,CE,Sell,40,10.0
NIFTY     ,2016-07-28,8600.0,CE,Sell,75,31.9
NIFTY     ,2016-07-28,8250.0,PE,Sell,225,6.9
NIFTY     ,2016-07-28,8200.0,PE,Buy,225,4.35
NIFTY     ,2016-07-28,8100.0,PE,Buy,375,1.95
NIFTY     ,2016-07-28,8100.0,PE,Buy,300,1.95
NIFTY     ,2016-07-28,8750.0,CE,Sell,225,5.55
NIFTY     ,2016-07-28,8700.0,CE,Sell,75,10.55
BANKNIFTY ,2016-07-28,19800.0,CE,Buy,40,3.2
BANKNIFTY ,2016-07-28,19800.0,CE,Buy,480,3.2
